year,cpt_hcpcs,work_rvu,pe_rvu_facility,pe_rvu_nonfacility,mp_rvu,status_indicator,global_days
2026,23105,8.27,8.13,8.13,1.72,A,090
2026,23106,5.98,7.35,7.35,1.28,A,090
2026,23107,8.65,8.30,8.30,1.80,A,090
2026,23120,7.21,8.22,8.22,1.48,A,090
2026,23125,9.40,8.63,8.63,2.00,A,090
2026,23130,7.58,8.52,8.52,1.59,A,090
2026,23140,6.94,7.50,7.50,1.47,A,090
2026,23145,9.17,8.55,8.55,1.95,A,090
2026,23146,7.88,8.29,8.29,1.68,A,090
2026,23150,8.69,8.40,8.40,1.85,A,090
2026,23155,10.59,9.57,9.57,2.25,A,090
2026,23156,8.88,8.46,8.46,1.90,A,090
2026,23170,7.03,7.68,7.68,1.48,A,090
2026,23172,7.13,7.71,7.71,1.50,A,090
2026,23174,9.80,9.81,9.81,2.09,A,090
2026,23180,8.77,8.98,8.98,1.86,A,090
2026,23182,8.39,9.02,9.02,1.78,A,090
2026,23184,9.65,9.16,9.16,2.04,A,090
2026,23190,7.28,7.60,7.60,1.54,A,090
2026,23195,10.10,9.00,9.00,2.15,A,090
2026,23200,22.14,14.01,14.01,4.73,A,090
2026,23210,26.53,15.41,15.41,5.64,A,090
2026,23220,29.45,16.31,16.31,6.26,A,090
2026,23330,1.85,2.73,7.58,0.40,A,010
2026,23333,5.85,6.66,6.66,1.25,A,090
2026,23334,15.11,11.05,11.05,3.06,A,090
2026,23335,18.53,12.10,12.10,3.75,A,090
2026,23350,0.98,0.19,3.63,0.09,A,000
2026,23395,18.08,13.46,13.46,3.72,A,090
2026,23397,16.34,11.40,11.40,3.48,A,090
2026,23400,13.52,10.50,10.50,2.89,A,090
2026,23405,8.33,7.31,7.31,1.56,A,090
2026,23406,10.73,7.97,7.97,1.48,A,090
2026,23410,11.11,9.49,9.49,2.30,A,090
2026,23412,11.63,9.66,9.66,2.41,A,090
2026,23415,9.00,8.86,8.86,1.85,A,090
2026,23420,13.20,11.17,11.17,2.77,A,090
2026,23430,9.92,8.94,8.94,1.99,A,090
2026,23440,10.37,8.46,8.46,2.17,A,090
2026,23450,13.36,9.89,9.89,2.85,A,090
2026,23455,14.30,9.33,9.33,2.73,A,090
2026,23460,15.42,11.26,11.26,3.28,A,090
2026,23462,15.33,10.67,10.67,3.26,A,090
2026,23465,15.89,11.41,11.41,3.38,A,090
2026,23466,15.41,12.43,12.43,3.14,A,090
2026,23470,17.44,11.57,11.57,3.56,A,090
2026,23472,21.58,12.99,12.99,4.36,A,090
2026,23473,24.38,13.85,13.85,4.89,A,090
2026,23474,26.53,14.56,14.56,5.38,A,090
2026,23480,11.25,9.22,9.22,2.40,A,090
2026,23485,13.56,9.77,9.77,2.76,A,090
2026,23490,11.86,9.58,9.58,2.53,A,090
2026,23491,14.18,10.87,10.87,3.02,A,090
2026,23500,2.15,4.74,5.13,0.45,A,090
2026,23505,3.73,5.80,7.70,0.81,A,090
2026,23515,9.45,8.94,8.94,1.94,A,090
2026,23520,2.23,4.68,5.40,0.47,A,090
2026,23525,3.70,6.50,8.87,0.79,A,090
2026,23530,7.29,7.61,7.61,1.54,A,090
2026,23532,8.00,8.18,8.18,1.70,A,090
2026,23540,2.30,4.90,5.49,0.49,A,090
2026,23545,3.34,8.59,10.86,0.83,A,090
2026,23550,7.40,7.33,7.33,1.46,A,090
2026,23552,8.60,8.04,8.04,1.69,A,090
2026,23570,2.30,4.80,5.19,0.47,A,090
2026,23575,4.12,6.35,8.74,0.88,A,090
2026,23585,13.87,10.12,10.12,2.82,A,090
2026,23600,2.93,6.40,7.87,0.61,A,090
2026,23605,4.93,7.19,10.00,1.08,A,090
2026,23615,11.99,10.18,10.18,2.49,A,090
2026,23616,17.91,11.97,11.97,3.70,A,090
2026,23620,2.49,5.14,6.28,0.50,A,090
2026,23625,4.00,6.42,8.54,0.88,A,090
2026,23630,10.31,9.56,9.56,2.11,A,090
2026,23650,3.44,6.75,8.73,0.82,A,090
2026,23655,4.64,6.88,6.88,1.02,A,090
2026,23660,7.47,7.55,7.55,1.48,A,090
2026,23665,4.54,6.93,9.38,1.00,A,090
2026,23670,11.97,9.99,9.99,2.52,A,090
2026,23675,6.11,7.86,11.40,1.33,A,090
