cpt_hcpcs,tos,tos_desc,age_from,age_thru,age_units,urban_allowed_amount,urban_effective_start,rural_allowed_amount,rural_effective_start,note_code_1,note_code_2,note_code_3,last_pricing_review_date,source_code,source_description
70470,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70480,4,RADIOLOGY,0,999,Years,104.75,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70481,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70482,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70486,4,RADIOLOGY,0,999,Years,104.75,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70487,4,RADIOLOGY,0,999,Years,156.38,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70488,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70490,4,RADIOLOGY,0,999,Years,104.75,2025-03-01,131.99,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70491,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70492,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70496,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70498,4,RADIOLOGY,0,999,Years,175.06,2025-03-01,220.58,2025-03-01,HP,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70540,4,RADIOLOGY,0,999,Years,233.23,2025-03-01,294.17,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70542,4,RADIOLOGY,0,999,Years,276.66,2025-03-01,461.69,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
70543,4,RADIOLOGY,0,999,Years,349.16,2025-03-01,461.69,2025-03-01,,RH,,2025-03-01,PRCR604C,HOSPITAL OUTPATIENT IMAGING SERVICES
